condition,stage,task,accuracy,examples,correct,forgetting,backward_transfer
srt_h1024,1,1,89.83050847457628,118,106,,
srt_h1024,2,1,88.98305084745763,118,105,0.8474576271186436,-0.8474576271186436
srt_h1024,2,2,88.46153846153847,130,115,,
srt_h1024,3,1,89.83050847457628,118,106,0.0,0.0
srt_h1024,3,2,90.76923076923077,130,118,-2.3076923076923066,2.3076923076923066
srt_h1024,3,3,91.0958904109589,146,133,,
srt_h1024,4,1,88.13559322033899,118,104,1.6949152542372872,-1.6949152542372872
srt_h1024,4,2,93.07692307692308,130,121,-2.3076923076923066,4.615384615384613
srt_h1024,4,3,92.46575342465754,146,135,-1.3698630136986338,1.3698630136986338
srt_h1024,4,4,93.75,176,165,,
srt_h1024,5,1,87.28813559322033,118,103,2.542372881355945,-2.542372881355945
srt_h1024,5,2,90.76923076923077,130,118,2.3076923076923066,2.3076923076923066
srt_h1024,5,3,90.41095890410959,146,132,2.0547945205479436,-0.6849315068493098
srt_h1024,5,4,92.61363636363636,176,163,1.1363636363636402,-1.1363636363636402
srt_h1024,5,5,91.40625,128,117,,
srt_h1024,6,1,87.28813559322033,118,103,2.542372881355945,-2.542372881355945
srt_h1024,6,2,91.53846153846153,130,119,1.5384615384615472,3.076923076923066
srt_h1024,6,3,89.72602739726027,146,131,2.7397260273972677,-1.3698630136986338
srt_h1024,6,4,93.18181818181819,176,164,0.568181818181813,-0.568181818181813
srt_h1024,6,5,89.84375,128,115,1.5625,-1.5625
srt_h1024,6,6,88.33333333333333,120,106,,
srt_h1024,7,1,86.44067796610169,118,102,3.3898305084745886,-3.3898305084745886
srt_h1024,7,2,90.0,130,117,3.07692307692308,1.538461538461533
srt_h1024,7,3,86.98630136986301,146,127,5.479452054794521,-4.109589041095887
srt_h1024,7,4,88.06818181818181,176,155,5.681818181818187,-5.681818181818187
srt_h1024,7,5,90.625,128,116,0.78125,-0.78125
srt_h1024,7,6,85.83333333333333,120,103,2.5,-2.5
srt_h1024,7,7,92.17391304347827,115,106,,
srt_h1024,8,1,85.59322033898304,118,101,4.237288135593232,-4.237288135593232
srt_h1024,8,2,90.76923076923077,130,118,2.3076923076923066,2.3076923076923066
